 Value, Timestamp,,,,,,,,,healthy values,,attacked values
269.2386, 7/7/2015 10:36:51 AM,,,,,,,,,285.1064,,287.6698
269.2386, 7/7/2015 10:36:52 AM,,,,,,,,,285.1064,,287.6698
269.2386, 7/7/2015 10:36:53 AM,,,,,,,,,285.1064,,287.6698
269.2386, 7/7/2015 10:36:54 AM,,,,,,,,,285.1064,,287.6698
269.2386, 7/7/2015 10:36:55 AM,,,,,,,,,285.3627,,287.6698
269.2386, 7/7/2015 10:36:56 AM,,,,,,,,,285.3627,,287.798
269.2386, 7/7/2015 10:36:57 AM,,,,,,,,,285.3627,,287.8493
269.2386, 7/7/2015 10:36:58 AM,,,,,,,,,285.3627,,287.8493
269.2386, 7/7/2015 10:36:59 AM,,,,,,,,,285.5934,,287.8493
269.2386, 7/7/2015 10:37:00 AM,,,,,,,,,285.6191,,287.8493
269.2386, 7/7/2015 10:37:01 AM,,,,,,,,,285.6191,,287.8493
269.2386, 7/7/2015 10:37:02 AM,,,,,,,,,285.8498,,287.8493
269.2386, 7/7/2015 10:37:03 AM,,,,,,,,,285.8498,,287.8493
269.2386, 7/7/2015 10:37:04 AM,,,,,,,,,285.8498,,287.8493
269.2386, 7/7/2015 10:37:05 AM,,,,,,,,,285.8498,,287.8493
269.2386, 7/7/2015 10:37:06 AM,,,,,,,,,285.978,,287.8493
269.2386, 7/7/2015 10:37:07 AM,,,,,,,,,286.1061,,287.8493
269.2386, 7/7/2015 10:37:08 AM,,,,,,,,,286.1061,,287.8493
269.2386, 7/7/2015 10:37:09 AM,,,,,,,,,286.1061,,287.8493
269.2386, 7/7/2015 10:37:10 AM,,,,,,,,,286.1061,,287.8493
269.2386, 7/7/2015 10:37:11 AM,,,,,,,,,286.1061,,287.8493
269.2386, 7/7/2015 10:37:12 AM,,,,,,,,,286.2599,,287.8493
269.2386, 7/7/2015 10:37:13 AM,,,,,,,,,286.2856,,287.8493
269.2386, 7/7/2015 10:37:14 AM,,,,,,,,,286.2856,,287.8493
269.2386, 7/7/2015 10:37:15 AM,,,,,,,,,286.2856,,287.8493
269.2386, 7/7/2015 10:37:16 AM,,,,,,,,,286.2856,,287.8493
269.2386, 7/7/2015 10:37:17 AM,,,,,,,,,286.2856,,287.9005
269.2386, 7/7/2015 10:37:18 AM,,,,,,,,,286.1574,,287.9262
269.2386, 7/7/2015 10:37:19 AM,,,,,,,,,285.8498,,287.9262
269.2386, 7/7/2015 10:37:20 AM,,,,,,,,,285.8498,,288.0544
269.2386, 7/7/2015 10:37:21 AM,,,,,,,,,285.8498,,288.1056
269.2386, 7/7/2015 10:37:22 AM,,,,,,,,,286.1318,,288.1056
269.2386, 7/7/2015 10:37:23 AM,,,,,,,,,286.1318,,288.1056
269.2386, 7/7/2015 10:37:24 AM,,,,,,,,,286.1318,,288.1056
269.2386, 7/7/2015 10:37:25 AM,,,,,,,,,286.1318,,288.1056
269.2386, 7/7/2015 10:37:26 AM,,,,,,,,,286.1318,,288.1056
269.2386, 7/7/2015 10:37:27 AM,,,,,,,,,286.1318,,288.1056
269.2386, 7/7/2015 10:37:28 AM,,,,,,,,,286.4137,,288.1056
269.2386, 7/7/2015 10:37:29 AM,,,,,,,,,286.4137,,288.1056
269.2386, 7/7/2015 10:37:30 AM,,,,,,,,,286.4137,,288.2851
269.2386, 7/7/2015 10:37:31 AM,,,,,,,,,286.5675,,288.2851
269.2386, 7/7/2015 10:37:32 AM,,,,,,,,,286.5675,,288.2851
269.2386, 7/7/2015 10:37:33 AM,,,,,,,,,286.5675,,288.2851
269.2386, 7/7/2015 10:37:34 AM,,,,,,,,,286.7982,,288.2851
269.2386, 7/7/2015 10:37:35 AM,,,,,,,,,286.7982,,288.2851
269.2386, 7/7/2015 10:37:36 AM,,,,,,,,,286.7982,,288.2851
269.2386, 7/7/2015 10:37:37 AM,,,,,,,,,286.9264,,288.2851
269.2386, 7/7/2015 10:37:38 AM,,,,,,,,,287.0033,,288.2851
269.2386, 7/7/2015 10:37:39 AM,,,,,,,,,287.1315,,288.2851
269.2386, 7/7/2015 10:37:40 AM,,,,,,,,,287.2597,,288.2851
