Attacked value, Timestamp,,,,,,healthy value
93.59779, 30/6/2015 3:37:00 PM,,,,,,124.7757
93.59779, 30/6/2015 3:37:01 PM,,,,,,124.7757
93.59779, 30/6/2015 3:37:02 PM,,,,,,124.7757
93.59779, 30/6/2015 3:37:03 PM,,,,,,125.0641
93.27737, 30/6/2015 3:37:04 PM,,,,,,125.0641
93.27737, 30/6/2015 3:37:05 PM,,,,,,125.0641
92.82876, 30/6/2015 3:37:06 PM,,,,,,125.0641
92.82876, 30/6/2015 3:37:07 PM,,,,,,125.0641
92.82876, 30/6/2015 3:37:08 PM,,,,,,125.3845
92.60446, 30/6/2015 3:37:09 PM,,,,,,125.3845
92.34811, 30/6/2015 3:37:10 PM,,,,,,125.3845
92.28403, 30/6/2015 3:37:11 PM,,,,,,125.3845
92.02769, 30/6/2015 3:37:12 PM,,,,,,125.3845
92.02769, 30/6/2015 3:37:13 PM,,,,,,125.2563
92.02769, 30/6/2015 3:37:14 PM,,,,,,125.2563
92.02769, 30/6/2015 3:37:15 PM,,,,,,125.2563
91.38683, 30/6/2015 3:37:16 PM,,,,,,125.2563
91.25865, 30/6/2015 3:37:17 PM,,,,,,125.4806
91.03435, 30/6/2015 3:37:18 PM,,,,,,125.4806
91.03435, 30/6/2015 3:37:19 PM,,,,,,125.4806
91.03435, 30/6/2015 3:37:20 PM,,,,,,125.4806
91.03435, 30/6/2015 3:37:21 PM,,,,,,125.8011
90.68188, 30/6/2015 3:37:22 PM,,,,,,125.8011
90.68188, 30/6/2015 3:37:23 PM,,,,,,125.9293
90.68188, 30/6/2015 3:37:24 PM,,,,,,126.0895
90.36144, 30/6/2015 3:37:25 PM,,,,,,126.0895
90.13715, 30/6/2015 3:37:26 PM,,,,,,125.9613
90.13715, 30/6/2015 3:37:27 PM,,,,,,125.8972
90.13715, 30/6/2015 3:37:28 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:29 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:30 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:31 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:32 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:33 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:34 PM,,,,,,125.8972
89.78467, 30/6/2015 3:37:35 PM,,,,,,126.1856
89.78467, 30/6/2015 3:37:36 PM,,,,,,126.1856
90.07306, 30/6/2015 3:37:37 PM,,,,,,126.4419
90.07306, 30/6/2015 3:37:38 PM,,,,,,126.5701
90.07306, 30/6/2015 3:37:39 PM,,,,,,126.8265
89.62446, 30/6/2015 3:37:40 PM,,,,,,126.8265
89.23994, 30/6/2015 3:37:41 PM,,,,,,126.8265
89.23994, 30/6/2015 3:37:42 PM,,,,,,126.6662
89.23994, 30/6/2015 3:37:43 PM,,,,,,126.6662
89.07972, 30/6/2015 3:37:44 PM,,,,,,126.6662
89.07972, 30/6/2015 3:37:45 PM,,,,,,126.8905
88.82338, 30/6/2015 3:37:46 PM,,,,,,126.8905
88.82338, 30/6/2015 3:37:47 PM,,,,,,126.8905
88.82338, 30/6/2015 3:37:48 PM,,,,,,126.8265
88.82338, 30/6/2015 3:37:49 PM,,,,,,126.7624
88.9836, 30/6/2015 3:37:50 PM,,,,,,126.7624
89.14381, 30/6/2015 3:37:51 PM,,,,,,126.7624
89.14381, 30/6/2015 3:37:52 PM,,,,,,126.7624
89.40015, 30/6/2015 3:37:53 PM,,,,,,126.7624
89.40015, 30/6/2015 3:37:54 PM,,,,,,126.7624
89.81671, 30/6/2015 3:37:55 PM,,,,,,126.9867
89.91284, 30/6/2015 3:37:56 PM,,,,,,127.243
89.91284, 30/6/2015 3:37:57 PM,,,,,,127.3391
90.04102, 30/6/2015 3:37:58 PM,,,,,,127.5314
90.13715, 30/6/2015 3:37:59 PM,,,,,,127.5314
90.13715, 30/6/2015 3:38:00 PM,,,,,,127.5314
90.13715, 30/6/2015 3:38:01 PM,,,,,,127.5314
90.13715, 30/6/2015 3:38:02 PM,,,,,,127.5314
89.91284, 30/6/2015 3:38:03 PM,,,,,,127.5314
89.72058, 30/6/2015 3:38:04 PM,,,,,,127.5314
89.40015, 30/6/2015 3:38:05 PM,,,,,,127.5314
89.40015, 30/6/2015 3:38:06 PM,,,,,,127.5314
89.40015, 30/6/2015 3:38:07 PM,,,,,,127.5314
